10000046,I9144HKkimh,50, 시설이 모두 새거에,"도미토리에 묶었습니다. <br/>다른 게스트하우스들은 - 시설이 오래된느낌도 있고, 특히 공용욕실 사용에 불편했는데...<br/>여기는 공용욕실도 방 갯수만큼 있어서 너무 깔끔하고 좋았어요!!!!!"
10081452,Hyeok Ju L,50, 최적화 장소 안성맞춤^^,깔끔한 외관과 친철한 프런트 직원들덕에 푹쉬다가 돌아 갑니다~^^ 비지니스 고객이나 젊은 연인들에게 강추입니다!!
10081500,ELF_WhoLovesToTravel,10, 끔찍하다!,"이 호텔에 이틀을 예약했다. 올림픽체조경기장(우리는 콘서트를 보러 여기 갔었다)과 가까웠기 때문이다. 예약하기 전에 러브 호텔인 줄 알았지만 상관 없었다. 콘서트 끝난 후에 몇 시간 잠만 잘 것이기 때문이었다. 올림픽체조경기장에서 호텔까지 걸어서 15-20분 거리이다. 침대가 딱딱해서 잠을 제대로 잘 수 없었다. 우리 둘 모두 하루 밤 자고 나니 허리가 아팠다. 방음시설도 엉망이었다. 옆 방에 묵은 커플이 말하고 웃는 소리가 너무 잘 들렸다. 따라서 이미 이틀치 비용을 지불했지만 다음 날 체크아웃하기로 했다. 아침식사가 방으로 배달되었다. 빵 두 조각과 달걀 한 개, 커피 한잔이 전부였다. 커피는 너무 맛없었다. 숙면을 취하고자 한다면 절대 이 호텔에 묵지 말길…"
10081500,lucylafaber,30, 송파구에서 할 일이 있는 경우에만 이곳에 묵으세요,"기본적으로 러브 호텔입니다. 우리 3명은 (자매) 올림픽 체조 경기장에서 열리는 콘서트에 갔고 도보 거리의 호텔에 묵고 싶었습니다. 이 호텔은 콘서트 장소에서 대략 800m 거리에 있었습니다. <br/><br/>저희는 비즈니스 룸에 묵었습니다. 객실에는 전용 샤워실이 있었고, 변기와 자쿠지가 있었습니다. 변기와 샤워실 문은 불을 켜면 반투명 상태로 변하고 자쿠지하는 데는 문이 없었습니다. 객실에는 앉을 수 있는 공간이 따로 있어서 소파와 책상이 있었습니다. 퀴퀴한 냄새가 났죠. <br/><br/>직원들은 아주 약간의 영어만 할 수 있었지만 많은 도움을 줬습니다. 식당은 없었지만 음식을 배달시킬 수 있습니다. 직원에게 부탁해서 주문해 달라고 한 다음 방으로 올려 달라고 하세요, 가게에 전화하지 말고. 근처에 식당들이 있는데 영어를 하는 사람이 별로 없습니다. 아주 맛있는 짜장면, 비빔면 및 후라이드 치킨을 배달해서 먹었습니다. 한국 음식을 배달시켜 먹는 건 아주 재밌는 경험이었죠. <br/><br/>올림픽 공원에서 콘서트를 또 보게 되면 이곳에 다시 묵겠습니다."
10081500,선이 현,10, 직원 불친절이 심각합니다,"수영장 딸린 펜트 하우스 예약했습니다. 인원 추가해서 추가비용 지불하고 7명 예약 하였음에도 불구하고 수건, 침구, 음료 등등 모든것이 4인으로 맞춰져 있었습니다. 심지어 음료도 하나는 개봉된 상태였음...... 수영장 물도 30-34도 맞춰져 있다고 했으나 냉수 마찰 하는 기분.... 온도 맞춰 주실수 있냐고 했으나 안된다 그럼 난로에 불을 켜 주실수 있으시냐 하니까 그것도 안된다...... 수건 모자라서 더 달라고 콜 해도 안가져다 주시고 하루 잤을 뿐인데 기분이 좋지 안았습니다. 모든 직원이 입실 예약 확인때 부터 퇴실때까지 불친절과 정색으로 일관 하고 퇴실때 기물파손확인 때문에 10분 정도 기다리라고 하는데 웃으며 할 수 있는 말을 정색하며 마치 우리가 기물 파손을 한 죄인 보듯하는 태도가 굉장히 불쾌하였습니다. 다시 갈 생각은 단 1도 없습니다."
10189330,민제 조,50, 조식도 괜찮고 룸도 깔끔함,춥지 않도록 난방도 잘되어있고 특히 침구류가 좋았습니다. 근처 관광지가 많음에도 전혀 시끄럽지않아 잘 쉬다 갑니다. 적극 추천!
10205834,닉끄닉끄,10, 최악,"7월2일 사전에 예약하고 20만원이 넘는돈을 지불하고 이호텔의 자랑인 EFL로 체크인을 했습니다.<br/>7시경체크인을하고 짐가져다놓고 5분정도 있다가 나가기전 물을 마시려고 냉장고를 열어보니 지퍼백에 담긴 방울토마토가 나왔습니다.프런트에 연락하니 10분뒤 남자분이 오셔서 방울토마토 봉지만 가져가시더군요.청소가 안된방이 아니냐고 다시묻고 점검을 해달라고하니 그것만있고 나머지는 이상이 없다고하시더군요.좀 이상했지만 이해하고 약속장소갔다가 10시쯤 다시 방으로돌아왔습니다.<br/>맥주 한캔마시려고 조그만한 협탁테이블의 의자에 않으려는순간 바닥에 돌아 다니는 방울토마토를 발견했습니다.<br/>아까 점검해달라고했을때 이상없다고 안하고 가더니 침대 아래,테이블아래 군대군대 방울토마토가 굴러다니고있어 프런트에 다시전화를 하니 사람을 보내준다고 하더군요.피곤하고 지쳐있는대 20분쯤 뒤에 한분이 오시더니 방을 바꿔주겠다고 하시더군요.한번에 했으면되는대 한밤중에 짐다시 챙겨 방바꾸러 제가 짐들구 다녔습니다.이런 대우받으려고 이가격 지불하고 투숙했나 생각들고 그냥 다른곳에 머물테니 돈돌려달라구 하구싶지만 다시한번참았습니다.체크아웃할때 다시한번 사과하겠다고 해서 참고 3일 체크아웃하는 18층으로갔습니다.체크아웃 하며 직원분게 물어보니 1층으로 가서 사과받고 가라구 하더군요.<br/>이 호텔은 고객이 사과 받으러 돌아다녀야 하는 곳이구나..내가 다시 안오면되지 생각하고 나왔습니다.<br/>주변에도 이러한 직원교육과 이런 서비스를 하는 호텔이 있다는것을 두루 알리고 싶군요.<br/>이런곳을 예약한 내스스로를 탓하며 주말을 완전 망치게해준 티마크호텔 명동 관계자분게 본인들도 한번 격어보시라는 부탁드리며 글을 마무리 합니다."
10205834,seung82,50, 편하게 잘 쉬었어요^^,6월말쯤 친구들이랑 서울놀러가서 잘 쉬다왔어요~<br/><br/>오랜만에 놀러가는거라  친구들이 기대가 컸는데 너무 좋았다고하네요 저도 만족~~<br/><br/>ELF였고 첫인상이 너무 좋아서 주변에 추천해주고있어요~<br/><br/>오픈한지 얼마안됐을때라 후기가 별로 없어서.....어수선하려나? <br/><br/>걱정했는데 괜한걱정을 했네요~<br/><br/>창밖으로보이던 남산타워~~너무 멋있어요!! <br/><br/>9월 휴가때 다시 한번 가려구요~
10205834,nahy0ungk,40, 가성비 굿,"깔끔한 호텔!! 위치도 좋고 가성비 굿이네요<br/>비지니스호텔치고 방도 넓은 편이고 깨끗해서 좋더라구요.<br/>조식도 넘넘 맛있었고<br/>명동, 남대문 가까워서 저녁에 외출하기도 편했던거 같아요<br/>추천합니다~~"
10205834,5222185,50, 티마크그랜드호텔 최고예요 ^^,티마크그랜호텔 시설도 좋고 주변에 남대문 시장이나 여러가지 지리적인 이점들도 있고 좋습니다. 그리고 카운터에서 정말 친절하게 웃으면서 체크인 해주실때 정말 좋았어요. 특히 비올때 들었던 룸 내부에 스피커가 가장 좋았습니다. 앞으로도 자주 이용할 것 같아요.
10205834,보물3맘,50, 또 이용하고 싶어요~ 너무 좋아요~!!^^,"아이와 함께 편하게 잘 이용하고 왔어요~ 위치도 좋고, 위생상태 깨끗하고, 조식도 너무 맛있고.. 수영장이 있어서 아이와 즐거운 시간 보내고 왔답니다. 제가 임신중이라 많이 다니지 못하는데, 아이 방학하면 또 이용하고 싶어요~!!^^"
10205834,믿을만한리뷰어,30, 미드스케일 + a,"오픈한지 얼마 안된 곳이라 조금 어수선하고 직원들의 응대가 서툰 감이 있었지만 진심으로 투숙객을 배려하는 마음이 느껴졌습니다.<br/> <br/>밋밋한 비즈니스 호텔이지만 클럽라운지, 수영장, 짐이 있었고. 클럽라운지는 꽤나 괜찮은 편이지만 수영장과 짐은 구색만 갖춘 정도로 주위 유명호텔의 그것과 다르니 기대하면 곤란합니다.<br/><br/>객실은 일반적인 비즈니스호텔 크기로 깨끗하고 전망도 좋은편, 어메니티도 품질이 좋아서 만족했습니다.<br/><br/>위치는 서울역에서 10분거리 명동과 멀지않고 남대문시장을 맞대고 있어 관광객들이 이용하기 편리해 보였고, 주변 오피스타운과도 가까워 출장객이 이용하기도 나쁘지 않은 위치 입니다.<br/><br/>좋았던 점은 호텔이 입지가 좋은점, 비즈니스 호텔이지만 Club Lounge와 수영장이 구비된 점 입니다. <br/><br/>실망한 점은 보통 수영장 혹은 편의시설이 공사중인 경우 미리 웹사이트나 혹은 OTA의 안내사항에 공지하고 적어도 체크인시 미리 양해를 구하는데, 아무런 공지도 없었고 안내도 없었는데 3층에 방문하니 수영장이 공사중이고 당분간 이용할수 없다고 하여 황당 했습니다."
10205834,MooNyaDoGom,40, 새로생긴 규모있는 호텔이지만 뭔가가...,"전체적인 만족도는 높았으나, 뭔가가 어수선하고 어설펐음.<br/>전달해주기로 한 내용이 잘 전달이 안되는 그런것들...<br/><br/>새로 오픈해 깨끗한편이나, 청소상태가 좋은것은 아님.<br/>이전 숙박자의 머리카락 색 정도는 알수있는 정도<br/><br/>객실 수에 비해 식당 및 부대시설은 너무 부족함<br/>객실 수가 576개라는데, 100석 남짓한 조식당..<br/>시간 잘 못맞춰가면 지옥도가 펼쳐질것임.<br/><br/>쉬러가는 목적이라면 비추천<br/>비즈니스나 관광객들한테는 추천"
10205834,HJ Heather S,50, 객실에서 보이는 남산타워뷰 최고입니다.,"패밀리룸(더블베드+싱글베드) 이용하였습니다. <br/>사각사각한 침구와 푹신한 베게가 마음에 들었고, 밤에는 객실 창문으로 보이는 남산타워 뷰가 아름답습니다. <br/>새로 생긴 호텔이라 깔끔했고 아이랑 명동에 도보로 다녀올 만한 거리에 있어요. 길만 건너면 남대문시장, 신세계 백화점이라 쇼핑하기에도 좋습니다."
10205834,jinsukb2015,40, 인상적인 시설,4호선 회현역 접근성 최고.<br/>남산타워 조망이 가능한 라운지 Good.<br/>객실 시설 Good<br/>직원 응대는 다소 미흡하나 곧 나아질 거라고 기대.
10205834,sung woo c,40, 티마크 그랜드 호텔,"위치: <br/>회현역에서 바로 연결ㅤㅇㅣㄷ 되어있고 <br/>남대문 시장 건너편. 서울역, 남대문 도보 가능 <br/>정말 외국인이나 , 서울 관광온 분들한테는 최적의 위치에요. <br/>명동은 아닌데 왜 호텔이름에 명동이 들어가는지 모르겠지만 <br/>명동도 멀진 않아요. <br/><br/><br/>객실: <br/>당일 예약한거라 생각보다 저렴한 가격에 예약을 했어요 <br/>트윈룸이었고, 방은 깔끔했고, 나쁘지는 않았어요. <br/>욕조가 있었고, 수건이나 욕실 비품은 생각보다 좋더라고요. <br/><br/><br/>서비스: 직원분들 서비스 좋고 <br/>           단체 관광객들이 많던데, 시끄럽지 않고<br/>           조용했어요."
10205834,oozo19,30, 호텔은 좋았지만 내부 카페 직원의 매너 결여가 아쉬웠어요.,"티마크 그랜드 호텔 자체는 위치 및 시설, 조식 등이 가성 비 80점 이상으로 좋았습니다. <br/>특히 클럽룸에 숙박하실 경우 라운지에서의 남산뷰는 정말 좋았어요. <br/>바쁜 연휴 기간이었지만 호텔 내부 스탭들의 매너는 정말 좋았으나,<br/>단 하나, 호텔 1층에 위치한 뚜르드 카페의 직원들은 매너 교육이 결여되어 있어서<br/>그게 좀 아쉽더군요. <br/><br/>주문 음료를 20분 넘게 기다렸는데도 나오지 않아 확인해보니 주문 누락.<br/>이에 대해 지체된 이유에 대한 설명이라던가 하다못해 주문 누락을 인정조차 하지 않은채<br/>무시하는 태도는 정말 상식 밖이었어요."
